DelPer, radec, 3:42:55.51, 47:47:15.0
DelEri, radec, 3:43:14.90, -9:45:47.9
BetRet, radec, 3:44:12.00, -64:48:24.8
OmiPer, radec, 3:44:19.10, 32:17:17.9
17Tau, radec, 3:44:52.51, 24:06:47.9
NuPer, radec, 3:45:11.59, 42:34:43.0
19Tau, radec, 3:45:12.50, 24:28:01.9
20Tau, radec, 3:45:49.61, 24:22:04.1
PiEri, radec, 3:46:08.50, -12:06:06.1
23Tau, radec, 3:46:19.61, 23:56:53.9
Tau6Eri, radec, 3:46:50.90, -23:14:58.9
GamHyi, radec, 3:47:14.30, -74:14:20.0
EtaTau, radec, 3:47:29.11, 24:06:18.0
27Tau, radec, 3:49:09.70, 24:03:11.9
GamCam, radec, 3:50:21.50, 71:19:55.9
Tau8Eri, radec, 3:53:42.60, -24:36:45.0
ZetPer, radec, 3:54:07.90, 31:53:01.0
32Eri, radec, 3:54:17.50, -2:57:16.9
EpsPer, radec, 3:57:51.19, 40:00:37.1
GamEri, radec, 3:58:01.80, -13:30:31.0
DelRet, radec, 3:58:44.69, -61:24:01.1
XiPer, radec, 3:58:57.89, 35:47:28.0
Tau9Eri, radec, 3:59:55.51, -24:00:59.0
LamTau, radec, 4:00:40.80, 12:29:25.1
GamRet, radec, 4:00:53.81, -62:09:33.8
IotRet, radec, 4:01:18.19, -61:04:44.0
NuTau, radec, 4:03:09.41, 5:59:21.1
37Tau, radec, 4:04:41.71, 22:04:54.8
LamPer, radec, 4:06:34.99, 50:21:05.0
48Per, radec, 4:08:39.70, 47:42:45.0
DelHor, radec, 4:10:50.59, -41:59:37.0
Omi1Eri, radec, 4:11:51.91, -6:50:15.0
47Tau, radec, 4:13:56.40, 9:15:49.0
AlpHor, radec, 4:14:00.10, -42:17:39.8
39Eri, radec, 4:14:23.71, -10:15:23.0
AlpRet, radec, 4:14:25.51, -62:28:26.0
52Per, radec, 4:14:53.30, 40:29:01.0
MuPer, radec, 4:14:53.90, 48:24:33.8
Omi2Eri, radec, 4:15:16.30, -7:39:10.1
MuTau, radec, 4:15:32.11, 8:53:31.9
GamDor, radec, 4:16:01.61, -51:29:12.1
EpsRet, radec, 4:16:28.90, -59:18:06.8
Ome2Tau, radec, 4:17:15.60, 20:34:43.0
Ups4Eri, radec, 4:17:53.69, -33:47:53.9
GamTau, radec, 4:19:47.59, 15:37:39.0
PhiTau, radec, 4:20:21.31, 27:21:02.9
54Per, radec, 4:20:24.60, 34:34:00.1
53Per, radec, 4:21:33.19, 46:29:56.0
Del1Tau, radec, 4:22:56.09, 17:32:33.0
43Eri, radec, 4:24:02.21, -34:01:00.8
Del2Tau, radec, 4:24:05.81, 17:26:38.0
Kap1Tau, radec, 4:25:22.10, 22:17:38.0
Del3Tau, radec, 4:25:29.40, 17:55:41.2
UpsTau, radec, 4:26:18.50, 22:48:49.0
71Tau, radec, 4:26:20.81, 15:37:05.9
PiTau, radec, 4:26:36.41, 14:42:49.0
75Tau, radec, 4:28:26.40, 16:21:34.9
The1Tau, radec, 4:28:34.51, 15:57:43.9
EpsTau, radec, 4:28:37.01, 19:10:49.1
The2Tau, radec, 4:28:39.70, 15:52:14.9
45Eri, radec, 4:31:52.70, -0:02:38.0
Ups1Eri, radec, 4:33:30.60, -29:46:00.1
RhoTau, radec, 4:33:50.90, 14:50:39.8
AlpDor, radec, 4:33:59.81, -55:02:42.0
Ups2Eri, radec, 4:35:33.00, -30:33:43.9
88Tau, radec, 4:35:39.29, 10:09:38.9
AlpTau, radec, 4:35:55.20, 16:30:33.1
NuEri, radec, 4:36:19.10, -3:21:09.0
58Per, radec, 4:36:41.40, 41:15:52.9
90Tau, radec, 4:38:09.50, 12:30:38.9
53Eri, radec, 4:38:10.80, -14:18:14.0
Sig2Tau, radec, 4:39:16.49, 15:55:05.2
54Eri, radec, 4:40:26.50, -19:40:18.1
AlpCae, radec, 4:40:33.70, -41:51:50.0
TauTau, radec, 4:42:14.69, 22:57:24.8
MuEri, radec, 4:45:30.10, -3:15:16.9
Pi3Ori, radec, 4:49:50.40, 6:57:41.0
Pi2Ori, radec, 4:50:36.70, 8:54:01.1
Pi4Ori, radec, 4:51:12.41, 5:36:18.0
Omi1Ori, radec, 4:52:31.99, 14:15:02.2
2Aur, radec, 4:52:37.99, 36:42:11.2
OmeEri, radec, 4:52:53.69, -5:27:10.1
AlpCam, radec, 4:54:03.00, 66:20:34.1
Pi5Ori, radec, 4:54:15.10, 2:26:26.2
Pi1Ori, radec, 4:54:53.81, 10:09:02.9
Omi2Ori, radec, 4:56:22.30, 13:30:51.8
IotAur, radec, 4:56:59.59, 33:09:58.0
7Cam, radec, 4:57:17.21, 53:45:07.9
Pi6Ori, radec, 4:58:32.90, 1:42:51.1
OmeAur, radec, 4:59:15.41, 37:53:25.1
64Eri, radec, 4:59:55.80, -12:32:15.0
PsiEri, radec, 5:01:26.30, -7:10:26.0
EpsAur, radec, 5:01:58.10, 43:49:23.9
ZetAur, radec, 5:02:28.70, 41:04:32.9
IotTau, radec, 5:03:05.71, 21:35:24.0
BetCam, radec, 5:03:25.10, 60:26:31.9
Gam1Cae, radec, 5:04:24.41, -35:28:59.9
11Ori, radec, 5:04:34.10, 15:24:15.1
EpsLep, radec, 5:05:27.70, -22:22:16.0
ZetDor, radec, 5:05:30.60, -57:28:22.1
EtaAur, radec, 5:06:30.91, 41:14:03.8
9Aur, radec, 5:06:40.61, 51:35:52.1
104Tau, radec, 5:07:27.00, 18:38:42.0
BetEri, radec, 5:07:51.00, -5:05:11.0
LamEri, radec, 5:09:08.81, -8:45:15.1
15Ori, radec, 5:09:42.00, 15:35:49.9
IotLep, radec, 5:12:17.90, -11:52:09.1
MuLep, radec, 5:12:55.90, -16:12:20.2
KapLep, radec, 5:13:13.90, -12:56:29.0
RhoOri, radec, 5:13:17.50, 2:51:40.0
MuAur, radec, 5:13:25.70, 38:29:03.8
TheDor, radec, 5:13:45.41, -67:11:07.1
BetOri, radec, 5:14:32.30, -8:12:06.1
AlpAur, radec, 5:16:41.40, 45:59:53.2
OmiCol, radec, 5:17:29.09, -34:53:43.1
TauOri, radec, 5:17:36.41, -6:50:39.8
16Aur, radec, 5:18:10.70, 33:22:18.1
LamAur, radec, 5:19:08.50, 40:05:57.1
109Tau, radec, 5:19:16.61, 22:05:47.0
LamLep, radec, 5:19:34.51, -13:10:36.1
22Ori, radec, 5:21:45.70, -0:22:57.0
23Ori, radec, 5:22:49.99, 3:32:39.8
29Ori, radec, 5:23:56.81, -7:48:29.2
111Tau, radec, 5:24:25.39, 17:22:59.9
EtaOri, radec, 5:24:28.61, -2:23:48.8
SigAur, radec, 5:24:39.19, 37:23:08.2
Psi1Ori, radec, 5:24:44.81, 1:50:47.0
GamOri, radec, 5:25:07.90, 6:20:58.9
BetTau, radec, 5:26:17.50, 28:36:27.0
Psi2Ori, radec, 5:26:50.21, 3:05:44.2
114Tau, radec, 5:27:38.11, 21:56:12.8
BetLep, radec, 5:28:14.69, -20:45:33.8
31Ori, radec, 5:29:43.99, -1:05:31.9
32Ori, radec, 5:30:47.11, 5:56:53.2
EpsCol, radec, 5:31:12.70, -35:28:14.2
UpsOri, radec, 5:31:55.80, -7:18:05.0
DelOri, radec, 5:32:00.41, -0:17:57.1
119Tau, radec, 5:32:12.79, 18:35:39.8
ChiAur, radec, 5:32:43.70, 32:11:30.8
AlpLep, radec, 5:32:43.80, -17:49:19.9
BetDor, radec, 5:33:37.49, -62:29:22.9
Phi1Ori, radec, 5:34:49.20, 9:29:21.8
LamOri, radec, 5:35:08.30, 9:56:03.1
42Ori, radec, 5:35:23.21, -4:50:17.9
IotOri, radec, 5:35:25.99, -5:54:36.0
EpsOri, radec, 5:36:12.79, -1:12:06.8
Phi2Ori, radec, 5:36:54.29, 9:17:26.2
ZetTau, radec, 5:37:38.69, 21:08:33.0
SigOri, radec, 5:38:44.81, -2:36:00.0
49Ori, radec, 5:38:53.11, -7:12:47.2
OmeOri, radec, 5:39:11.09, 4:07:17.0
AlpCol, radec, 5:39:38.90, -34:04:27.1
126Tau, radec, 5:41:17.71, 16:32:02.0
51Ori, radec, 5:42:28.61, 1:28:28.9
GamLep, radec, 5:44:27.79, -22:26:53.9
DelDor, radec, 5:44:46.39, -65:44:08.2
ZetLep, radec, 5:46:57.29, -14:49:18.8
BetPic, radec, 5:47:17.11, -51:03:59.0
KapOri, radec, 5:47:45.41, -9:40:10.9
132Tau, radec, 5:49:01.01, 24:34:03.0
TauAur, radec, 5:49:10.49, 39:10:52.0
134Tau, radec, 5:49:32.90, 12:39:04.0
GamPic, radec, 5:49:49.70, -56:10:00.1
BetCol, radec, 5:50:57.60, -35:46:05.9
UpsAur, radec, 5:51:02.40, 37:18:20.2
DelLep, radec, 5:51:19.30, -20:52:45.1
NuAur, radec, 5:51:29.40, 39:08:55.0
56Ori, radec, 5:52:26.40, 1:51:18.0
LamCol, radec, 5:53:06.89, -33:48:05.0
136Tau, radec, 5:53:19.61, 27:36:43.9
Chi1Ori, radec, 5:54:22.90, 20:16:34.0
XiAur, radec, 5:54:50.81, 55:42:24.8
AlpOri, radec, 5:55:10.30, 7:24:24.8
XiCol, radec, 5:55:29.90, -37:07:14.9
EtaLep, radec, 5:56:24.29, -14:10:04.1
GamCol, radec, 5:57:32.21, -35:16:59.9
139Tau, radec, 5:57:59.69, 25:57:14.0
EtaCol, radec, 5:59:08.81, -42:48:55.1
DelAur, radec, 5:59:31.61, 54:17:04.9
BetAur, radec, 5:59:31.70, 44:56:51.0
TheAur, radec, 5:59:43.30, 37:12:45.0
PiAur, radec, 5:59:56.09, 45:56:12.8
3Mon, radec, 6:01:50.40, -10:35:53.2
MuOri, radec, 6:02:22.99, 9:38:51.0
Chi2Ori, radec, 6:03:55.20, 20:08:17.9
1Gem, radec, 6:04:07.20, 23:15:47.9
17Lep, radec, 6:04:59.09, -16:29:03.8
TheLep, radec, 6:06:09.29, -14:56:07.1
NuOri, radec, 6:07:34.30, 14:46:05.9
DelPic, radec, 6:10:17.90, -54:58:07.0
XiOri, radec, 6:11:56.40, 14:12:32.0
